Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,CLTV,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
9,Offer E,Yes,12.18,Yes,Fiber Optic,6,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,85.05,746.5,0.0,30,109.62,886.12,3,1,5095,Male,68,No,Yes,No,No,0
1,Offer E,Yes,39.1,No,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,70.3,0.0,0,39.1,109.4,1,1,4962,Male,80,No,Yes,Yes,No,0
70,Offer E,No,0.0,No,DSL,20,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,45.25,3264.45,0.0,0,0.0,3264.45,2,1,5824,Male,79,No,Yes,No,No,0
20,Offer D,Yes,5.71,No,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,71.3,1389.2,0.0,0,114.2,1503.4,2,1,3684,Male,78,No,Yes,No,No,0
21,Offer D,Yes,19.74,No,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.1,1474.75,0.0,0,414.54,1889.29,2,1,3853,Male,76,No,Yes,Yes,No,0
1,Offer E,Yes,28.82,No,Fiber Optic,22,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.0,86.0,0.0,0,28.82,114.82,1,1,5359,Female,65,No,Yes,No,No,0
46,Offer E,No,0.0,No,DSL,15,No,Yes,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,59.9,2816.65,0.0,150,0.0,2966.65,3,1,4011,Male,80,No,Yes,Yes,No,0
14,Offer D,Yes,16.36,Yes,Fiber Optic,6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,1101.85,0.0,0,229.04,1330.89,1,1,5203,Female,65,No,Yes,No,No,0
47,Offer E,Yes,16.83,Yes,Fiber Optic,12,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.2,3969.35,0.0,0,791.0099999999999,4760.36,1,1,4661,Female,78,No,Yes,No,No,0
13,Offer D,Yes,27.82,No,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,1,1,3714,Male,78,No,Yes,Yes,No,0
3,Offer E,Yes,35.43,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.0,294.45,0.0,0,106.29,400.74,3,1,5960,Male,68,No,Yes,No,No,0
26,Offer C,Yes,9.28,Yes,Fiber Optic,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,2381.55,0.0,0,241.28,2622.83,2,1,2591,Female,73,No,Yes,Yes,No,0
8,Offer E,Yes,46.05,Yes,Fiber Optic,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.0,613.4,0.0,0,368.4,981.8,3,1,4819,Female,75,No,Yes,Yes,No,0
18,Offer D,Yes,4.98,No,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.55,1422.65,0.0,0,89.64000000000001,1512.29,3,1,3521,Male,66,No,Yes,Yes,No,0
4,Offer E,No,0.0,No,DSL,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,102.5,0.0,0,0.0,102.5,3,1,4694,Male,73,No,Yes,No,No,0
15,Offer D,Yes,17.19,Yes,DSL,19,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,55.0,757.1,0.0,0,257.85,1014.95,1,1,3167,Female,73,No,Yes,No,No,0
3,Offer E,Yes,32.31,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.6,279.55,0.0,0,96.93,376.48,1,1,3019,Male,70,No,Yes,Yes,No,0
53,Offer E,Yes,39.36,Yes,Fiber Optic,23,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.85,5485.5,0.0,0,2086.08,7571.58,1,1,5860,Male,74,No,Yes,Yes,No,0
68,Offer E,Yes,47.17,Yes,Fiber Optic,29,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.3,7299.65,0.0,0,3207.56,10507.21,3,1,6284,Male,70,No,Yes,Yes,No,0
25,Offer C,Yes,47.66,Yes,Fiber Optic,23,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.95,2291.2,0.0,0,1191.5,3482.7,2,1,3878,Male,71,No,Yes,No,No,0
66,Offer E,Yes,48.87,Yes,Fiber Optic,13,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,7491.75,0.0,0,3225.42,10717.17,1,1,4281,Male,66,No,Yes,Yes,No,0
27,Offer C,No,0.0,No,DSL,25,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,36.5,1032.0,0.0,30,0.0,1062.0,1,1,4564,Male,68,No,Yes,Yes,No,0
29,Offer E,Yes,6.25,Yes,Fiber Optic,21,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,2653.65,0.0,0,181.25,2834.9,1,1,2233,Male,73,No,Yes,Yes,No,0
1,Offer E,Yes,13.02,Yes,Fiber Optic,30,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,90.6,0.0,0,13.02,103.62,2,1,2905,Female,77,No,Yes,Yes,No,0
2,Offer E,Yes,4.19,Yes,Fiber Optic,11,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,86.85,156.35,0.0,40,8.38,204.73,1,1,5204,Male,73,No,Yes,Yes,No,0
29,Offer E,Yes,22.33,Yes,Fiber Optic,6,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.05,2952.85,0.0,0,647.5699999999999,3600.42,1,1,3179,Female,65,No,Yes,Yes,No,0
19,Offer D,Yes,32.77,No,Fiber Optic,4,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.9,1777.9,0.0,0,622.6300000000001,2400.53,1,1,2851,Male,65,No,Yes,No,No,0
47,Offer E,Yes,14.22,Yes,Fiber Optic,11,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,4504.55,0.0,0,668.34,5172.89,2,1,5214,Female,78,No,Yes,No,No,0
52,Offer E,Yes,37.6,Yes,Fiber Optic,23,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.2,5568.35,0.0,0,1955.2,7523.55,1,1,5648,Male,69,No,Yes,Yes,No,0
11,Offer E,Yes,3.62,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,997.65,0.0,0,39.82,1037.47,2,1,4074,Female,67,No,Yes,No,No,0
43,Offer E,Yes,39.12,No,Fiber Optic,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,89.55,3856.75,0.0,0,1682.16,5538.91,1,1,3802,Male,74,No,Yes,No,No,0
46,Offer E,Yes,36.78,No,Fiber Optic,29,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.0,3969.4,0.0,0,1691.88,5661.280000000001,1,1,2097,Male,77,No,Yes,No,No,0
6,Offer E,Yes,47.35,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.25,560.6,0.0,0,284.1,844.7,3,1,3330,Female,79,No,Yes,No,No,0
1,Offer E,No,0.0,No,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,25.7,25.7,0.0,0,0.0,25.7,1,1,4095,Female,68,No,Yes,No,No,0
1,Offer E,Yes,41.16,No,Fiber Optic,6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,76.4,76.4,0.0,0,41.16,117.56,2,1,2426,Female,76,No,Yes,Yes,No,0
22,Offer E,No,0.0,No,Cable,18,Yes,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Mailed Check,40.05,880.2,0.0,0,0.0,880.2,1,1,2061,Male,80,No,Yes,Yes,Yes,2
1,Offer E,Yes,20.55,No,Fiber Optic,5,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.0,73.0,0.0,0,20.55,93.55,1,1,4116,Female,72,No,Yes,No,No,0
33,Offer E,Yes,38.53,Yes,Fiber Optic,2,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,83.85,2716.3,0.0,0,1271.49,3987.79,2,1,2583,Male,78,No,Yes,No,No,0
2,Offer E,Yes,12.52,No,Fiber Optic,25,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.65,142.35,0.0,0,25.04,167.39,1,1,2189,Female,67,No,Yes,No,No,0
26,Offer E,Yes,47.63,Yes,Fiber Optic,26,Yes,Yes,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,2497.2,0.0,60,1238.38,3795.58,1,1,4232,Female,74,No,Yes,No,No,0
60,Offer E,Yes,34.39,Yes,Fiber Optic,17,No,No,Yes,Yes,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,106.0,6441.4,0.0,110,2063.4,8614.8,3,1,5507,Female,68,No,Yes,No,No,0
38,Offer E,Yes,15.78,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.95,2869.85,0.0,0,599.64,3469.49,1,1,5165,Female,66,No,Yes,Yes,No,0
1,Offer E,Yes,8.38,No,DSL,19,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,49.25,49.25,0.0,0,8.38,57.63,3,1,4478,Male,71,No,Yes,Yes,Yes,1
7,Offer E,Yes,34.66,Yes,Fiber Optic,3,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.95,700.85,0.0,0,242.62,943.47,1,1,2016,Male,65,No,Yes,Yes,No,0
2,Offer E,Yes,20.99,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,181.7,0.0,0,41.98,223.68,1,1,5569,Male,65,No,Yes,No,No,0
51,Offer E,Yes,17.87,Yes,Fiber Optic,9,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.5,3807.35,0.0,0,911.37,4718.72,1,1,5748,Female,69,No,Yes,Yes,No,0
1,Offer E,Yes,11.08,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,74.4,0.0,0,11.08,85.48,2,1,3429,Male,68,No,Yes,No,No,0
47,Offer E,Yes,8.97,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.05,4871.05,0.0,0,421.59,5292.64,1,1,5166,Male,68,No,Yes,Yes,No,0
40,Offer E,Yes,2.85,Yes,Fiber Optic,3,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,101.85,4086.3,0.0,0,114.0,4200.3,1,1,2837,Male,76,No,Yes,Yes,No,0
1,Offer E,No,0.0,No,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.05,25.05,0.0,0,0.0,25.05,1,1,2119,Male,74,No,Yes,Yes,No,0
2,Offer E,Yes,45.41,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.85,156.4,0.0,0,90.82,247.22,2,1,5378,Male,79,No,Yes,No,No,0
42,Offer E,Yes,16.22,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.75,4323.45,0.0,0,681.24,5004.69,1,1,2984,Female,69,No,Yes,No,No,0
2,Offer E,Yes,39.63,No,Fiber Optic,23,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,79.75,159.4,0.0,10,79.26,248.66,3,1,4038,Female,74,No,Yes,No,No,0
14,Offer E,Yes,47.01,Yes,Fiber Optic,19,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,1369.8,0.0,0,658.14,2027.94,1,1,3369,Female,71,No,Yes,Yes,No,0
66,Offer E,Yes,9.9,Yes,Fiber Optic,25,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,No,Credit Card,110.9,7432.05,0.0,0,653.4,8085.45,3,1,4389,Male,69,No,Yes,No,No,0
1,Offer E,Yes,3.84,Yes,Fiber Optic,13,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,76.45,76.45,0.0,10,3.84,90.29,3,1,3763,Male,74,No,Yes,No,No,0
12,Offer E,Yes,34.01,Yes,Fiber Optic,18,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3,1094.5,0.0,0,408.12,1502.62,2,1,4703,Female,79,No,Yes,No,No,0
6,Offer E,Yes,47.9,No,Fiber Optic,6,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,573.75,0.0,0,287.4,861.15,3,1,5750,Male,69,No,Yes,Yes,No,0
27,Offer E,Yes,42.91,Yes,Fiber Optic,5,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.45,2122.05,0.0,0,1158.57,3280.62,3,1,2571,Male,80,No,Yes,No,No,0
3,Offer E,Yes,26.32,Yes,Fiber Optic,8,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.05,289.1,0.0,0,78.96000000000001,368.0600000000001,2,1,2194,Male,65,No,Yes,No,No,0
2,Offer E,Yes,17.73,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,79.2,172.85,0.0,0,35.46,208.31,3,1,4225,Female,78,No,Yes,Yes,No,0
14,Offer E,Yes,35.07,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1096.25,0.0,0,490.98,1587.23,3,1,5342,Female,75,No,Yes,No,No,0
57,Offer B,Yes,42.1,Yes,Fiber Optic,3,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,100.6,5746.15,0.0,0,2399.7,8145.85,1,1,5247,Male,73,No,Yes,Yes,No,0
64,Offer B,Yes,29.12,No,DSL,24,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,70.2,4481.0,0.0,0,1863.68,6344.68,1,1,6080,Female,80,No,Yes,No,No,0
2,Offer E,Yes,9.86,No,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.75,154.85,0.0,0,19.72,174.57,2,1,4407,Female,74,No,Yes,No,No,0
40,Offer B,Yes,44.86,No,Fiber Optic,4,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.2,3233.85,0.0,0,1794.4,5028.25,1,1,3207,Female,65,No,Yes,No,No,0
1,Offer E,Yes,42.5,No,Fiber Optic,8,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,85.0,0.0,0,42.5,127.5,2,1,2650,Female,71,No,Yes,No,No,0
37,Offer E,Yes,49.37,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,92.5,3473.4,0.0,0,1826.69,5300.09,1,1,4127,Male,74,No,Yes,Yes,No,0
4,Offer E,Yes,28.11,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.95,308.7,0.0,0,112.44,421.14,2,1,3716,Male,76,No,Yes,Yes,No,0
55,Offer B,Yes,8.93,Yes,Fiber Optic,21,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.8,5617.75,0.0,0,491.15,6108.9,2,1,5543,Male,73,No,Yes,No,No,0
32,Offer E,Yes,2.08,No,Fiber Optic,25,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,80.3,2483.05,0.0,0,66.56,2549.61,1,1,5365,Male,71,No,Yes,Yes,No,0
66,Offer E,Yes,45.59,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.45,5224.35,0.0,140,3008.94,8373.29,2,1,5011,Female,72,No,Yes,No,No,0
6,Offer E,Yes,40.44,No,Fiber Optic,25,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.2,519.15,0.0,0,242.64,761.79,2,1,5834,Male,76,No,Yes,Yes,No,0
4,Offer E,Yes,12.86,Yes,Fiber Optic,4,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.85,372.45,0.0,0,51.44,423.89,3,1,2754,Female,69,No,Yes,No,No,0
3,Offer E,No,0.0,No,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.3,77.75,0.0,0,0.0,77.75,3,1,3542,Female,80,No,Yes,No,No,0
8,Offer E,Yes,43.98,Yes,Fiber Optic,27,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,101.35,780.5,0.0,0,351.84,1132.34,3,1,5546,Female,78,No,Yes,No,No,0
3,Offer E,Yes,41.3,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.9,334.65,0.0,0,123.9,458.55,2,1,2715,Male,71,No,Yes,Yes,No,0
43,Offer B,Yes,17.43,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.0,4414.3,0.0,0,749.49,5163.79,1,1,2505,Male,73,No,Yes,Yes,No,0
13,Offer E,Yes,4.45,Yes,Fiber Optic,25,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,1127.2,0.0,0,57.85,1185.05,2,1,3363,Female,79,No,Yes,No,No,0
27,Offer E,Yes,45.82,No,Fiber Optic,13,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,2754.45,0.0,0,1237.14,3991.59,1,1,4853,Female,72,No,Yes,Yes,No,0
25,Offer E,Yes,18.46,Yes,Fiber Optic,3,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,2196.15,0.0,0,461.5,2657.65,1,1,4849,Male,69,No,Yes,No,No,0
22,Offer E,Yes,5.09,Yes,Fiber Optic,23,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.4,1692.6,0.0,0,111.98,1804.58,1,1,2407,Female,79,No,Yes,No,No,0
18,Offer E,Yes,25.27,Yes,Fiber Optic,15,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,99.75,1836.25,0.0,0,454.86,2291.11,2,1,5857,Female,68,No,Yes,Yes,No,0
56,Offer B,Yes,19.46,Yes,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,6418.9,0.0,0,1089.76,7508.66,3,1,4060,Female,77,No,Yes,No,No,0
16,Offer E,No,0.0,No,DSL,24,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,39.0,679.85,0.0,0,0.0,679.85,1,1,5692,Male,68,No,Yes,No,No,0
50,Offer B,Yes,37.12,Yes,Fiber Optic,4,No,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.05,4367.35,0.0,100,1856.0,6323.35,3,1,5813,Female,79,No,Yes,Yes,No,0
3,Offer E,Yes,23.82,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.05,256.25,0.0,0,71.46000000000001,327.71,1,1,3553,Female,68,No,Yes,No,No,0
1,Offer E,Yes,31.27,Yes,Fiber Optic,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.45,74.45,0.0,10,31.27,115.72,2,1,2394,Female,73,No,Yes,Yes,No,0
1,Offer E,Yes,8.35,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,75.75,0.0,0,8.35,84.1,1,1,5571,Male,79,No,Yes,No,No,0
4,Offer E,Yes,10.61,Yes,Fiber Optic,8,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.4,306.6,0.0,20,42.44,369.04,2,1,5839,Male,75,No,Yes,Yes,No,0
71,Offer B,Yes,47.02,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,96.35,6766.95,0.0,0,3338.42,10105.37,4,0,5309,Female,69,No,Yes,Yes,No,0
2,Offer E,Yes,33.1,No,Fiber Optic,11,No,No,Yes,No,Yes,Yes,No,No,One Year,Yes,Credit Card,95.5,181.65,0.0,10,66.2,257.85,5,0,4449,Male,79,No,Yes,Yes,No,0
1,Offer E,Yes,11.89,No,DSL,12,No,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,45.25,45.25,0.0,0,11.89,57.14,3,0,3144,Male,71,No,Yes,No,No,0
43,Offer B,Yes,12.58,Yes,Fiber Optic,26,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,90.25,3838.75,0.0,0,540.94,4379.690000000001,4,0,2223,Female,65,No,Yes,No,No,0
25,Offer B,Yes,30.6,Yes,DSL,2,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,69.5,1752.65,0.0,0,765.0,2517.65,4,0,3154,Female,65,No,Yes,Yes,No,0
60,Offer B,Yes,48.9,No,Cable,16,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,74.85,4456.35,0.0,0,2934.0,7390.35,3,0,5153,Female,72,No,Yes,Yes,No,0
66,Offer B,Yes,21.79,Yes,Fiber Optic,9,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.45,7076.35,0.0,0,1438.14,8514.49,5,0,4582,Male,77,No,Yes,Yes,No,0
64,Offer B,Yes,16.33,Yes,Fiber Optic,10,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,111.6,7099.0,0.0,0,1045.12,8144.12,4,0,4881,Male,71,No,Yes,Yes,No,0
56,Offer B,Yes,47.13,Yes,Fiber Optic,29,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,110.5,6139.5,0.0,0,2639.28,8778.78,4,0,4463,Female,73,No,Yes,No,No,0
30,Offer B,Yes,38.61,No,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,0.0,0,1158.3,3269.6,4,0,3033,Male,80,No,Yes,No,No,0
1,Offer B,Yes,27.65,No,Fiber Optic,2,No,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,74.7,74.7,0.0,0,27.65,102.35,5,0,4182,Male,79,No,Yes,No,No,0
66,Offer A,No,0.0,No,Cable,9,No,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,45.55,3027.25,0.0,0,0.0,3027.25,5,0,6238,Female,65,No,Yes,Yes,No,0
71,Offer A,No,0.0,No,DSL,20,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,56.45,3985.35,0.0,0,0.0,3985.35,3,0,5372,Male,73,No,Yes,No,No,0
72,Offer A,Yes,20.48,Yes,DSL,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,88.05,6425.65,0.0,0,1474.56,7900.209999999999,3,0,6102,Female,71,No,Yes,Yes,No,0
71,Offer A,Yes,30.72,Yes,DSL,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,23.95,1756.2,0.0,0,2181.12,3937.32,3,0,4329,Male,66,No,Yes,Yes,No,0
23,Offer B,Yes,42.59,Yes,Fiber Optic,2,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,86.8,1975.85,0.0,0,979.57,2955.42,3,0,5788,Male,66,No,Yes,Yes,No,0
65,Offer B,Yes,38.32,No,Fiber Optic,25,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,94.4,6126.15,0.0,0,2490.8,8616.95,4,0,5348,Female,77,No,Yes,Yes,No,0
13,Offer B,Yes,10.51,No,DSL,20,No,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,54.8,731.3,0.0,0,136.63,867.93,4,0,5557,Female,68,No,Yes,No,No,0
4,Offer E,Yes,36.4,No,Fiber Optic,29,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,75.35,273.4,0.0,0,145.6,419.0,3,0,4033,Male,66,No,Yes,No,No,0
29,Offer B,No,0.0,No,Cable,23,Yes,No,Yes,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,45.0,1228.65,0.0,0,0.0,1228.65,3,0,3094,Female,69,No,Yes,Yes,No,0
57,Offer B,Yes,36.66,Yes,Fiber Optic,9,No,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.85,4925.35,0.0,0,2089.62,7014.97,5,0,4429,Male,79,No,Yes,Yes,No,0
19,Offer B,Yes,7.95,No,Fiber Optic,12,Yes,Yes,No,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,105.0,2007.25,0.0,20,151.05,2178.3,3,0,3524,Female,67,No,Yes,No,No,0
20,Offer B,Yes,27.56,Yes,Fiber Optic,3,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,107.05,2172.05,0.0,0,551.1999999999999,2723.25,3,0,5328,Male,68,No,Yes,Yes,No,0
21,Offer B,Yes,42.95,No,DSL,30,Yes,Yes,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,64.95,1339.8,0.0,0,901.95,2241.75,4,0,4604,Male,79,No,Yes,Yes,No,0
6,Offer E,Yes,8.06,No,Fiber Optic,19,No,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.35,567.8,0.0,0,48.36,616.16,3,0,2578,Female,77,No,Yes,No,No,0
35,Offer B,Yes,2.12,Yes,Fiber Optic,3,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.8,3437.5,0.0,0,74.2,3511.7,5,0,3318,Male,73,No,Yes,Yes,No,0
